Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Stock,Price,Process,Minimum Qty,Attrition Qty,Class,Category,Manufacturer,Part,Voltage Rated,Tolerance,Capacitance,Temperature Coefficient,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C5",2,10nF,C_0402,,,,smt,50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15195,2636823,0.005USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05B103KB5NNNC,50V,±10%,10nF,X7R,,,,
"C2, C6",2,100nF,C_0402,,,,smt,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C307331,4519544,0.008USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05B104KB54PNC,50V,±10%,100nF,X7R,,,,
C3,1,4.7uF,C_0402,,,,smt,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C23733,1362908,0.008USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A475MP5NRNC,10V,±20%,4.7uF,X5R,,,,
C4,1,1uF,C_0402,,,,smt,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C52923,7796525,0.006USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A105KA5NQNC,25V,±10%,1uF,X5R,,,,
"D1, D2",2,H3V3N10B,D_DFN1006-2L,,,,smt,8A 10V 80W 6V Bidirectional 3.3V DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS,C20617909,5860,0.016USD,SMT,20,10,Preferred Component,"TVS/Fuse/Board Level Protection,Electrostatic And Surge Protection (TVS/ESD)",hongjiacheng,H3V3N10B,,,,,,,,
D3,1,1SS389,D_SOD-523,,,,smt,10V Independent Type 500mV@100mA 100mA SOD-523 Schottky Diodes ROHS,C22466369,4454,0.016USD,SMT,20,6,Preferred Component,"Diodes,Schottky Diodes",hongjiacheng,1SS389,,,,,,,,
F1,1,100 mA,Fuse_0603_1608Metric,,,,smt,"Resettable fuse, polymeric positive temperature coefficient",,,,,,,,,,,,,,,,,,
J2,1,I/O Header,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,,,,,,
U1,1,LT3060EDC-3.3,SON45P200X200X80-9N-D,,LT3060EDC-3.3#TRMPBF,,smt,"Linear Technology LT3060EDC-3.3#TRMPBF, LDO Voltage Regulator, 100mA, 3.3 V, 1.6  45 Vin, 8-Pin DFN",,,,,,,,,,,,,,,0.8,584-3060EDC-3.3TMPF,https://www.mouser.co.uk/ProductDetail/Analog-Devices/LT3060EDC-3.3TRMPBF?qs=hVkxg5c3xu%252BN%252B4JnWMn7ew%3D%3D,Analog Devices
U2,1,TSOP392,TVCastSMD4,,,,smt,,,,,,,,,,,,,,,,,,,
U3,1,STM32C011F4,ST_UFQFPN-20_3x3mm_P0.5mm,,,,smt,"STMicroelectronics Arm Cortex-M0+ MCU, 16KB flash, 6KB RAM, 48 MHz, 2.0-3.6V, 18 GPIO, UFQFPN20",,,,,,,,,,,,,,,,,,
